GEOID	ANSICODE	NAME	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG 
1310	00023998	Gila River Indian Reservation	11712	3238	1513451652	939548	584.347	0.363	33.154472	-111.924605 
1340	01455300	Goshute Reservation	143	63	487157766	13116	188.093	0.005	39.868969	-114.074069 
1355	00654523	Grand Portage Reservation	565	313	192573177	3200852	74.353	1.236	47.965288	-89.737130
1365	02418950	Grand Ronde Community	153	82	41086962	0	15.864	0.000	45.148785	-123.646912
1370	02418951	Grand Traverse Reservation	2	1	74273	0	0.029	0.000	45.019964	-85.605696 
1380	01666180	Greenville Rancheria	33	17	284692	0	0.110	0.000	40.148784	-120.893399
1395	00266781	Grindstone Indian Rancheria	164	50	326144	22791	0.126	0.009	39.672678	-122.517649
1400	00224709	Guidiville Rancheria	52	16	175438	0	0.068	0.000	39.165431	-123.169940
1410	01616983	Hannahville Indian Community	264	84	14644666	0	5.654	0.000	45.780065	-87.433697 
1440	00045638	Havasupai Reservation	465	116	714399924	0	275.831	0.000	36.160989	-112.613439
1450	02418963	Ho-Chunk Nation Reservation	801	277	2484493	0	0.959	0.000	44.346068	-90.755476
1460	01505548	Hoh Indian Reservation	116	30	1724400	96894	0.666	0.037	47.739509	-124.421319
1475	00284183	Hollywood Reservation	1742	1475	1998358	56408	0.772	0.022	26.041869	-80.212038
1490	00252109	Hoopa Valley Reservation	3041	1172	364587639	2376733	140.768	0.918	41.092824	-123.675804 
1505	00024001	Hopi Reservation	7106	2661	6557660010	2407661	2531.927	0.930	35.922658	-110.608449
1515	00225577	Hopland Rancheria	16	7	312712	0	0.121	0.000	38.981744	-123.058200
1530	02418969	Houlton Maliseet Reservation	211	69	3337761	22653	1.289	0.009	46.180696	-67.814694
1545	00045633	Hualapai Indian Reservation	1335	422	4121388395	8117294	1591.277	3.134	35.509501	-113.401013
1550	02109298	Huron Potawatomi Reservation	51	25	502064	18340	0.194	0.007	42.105226	-85.261018
1555	02418972	Immokalee Reservation	127	62	2511687	21068	0.970	0.008	26.402612	-81.413473 
1560	00243797	Inaja and Cosmit Reservation	0	0	3484659	0	1.345	0.000	33.010512	-116.641643 
1575	02418973	Indian Township Reservation	718	282	97372937	17830335	37.596	6.884	45.289867	-67.619350
1590	00479831	Iowa (KS-NE) Reservation	166	70	50884152	15537	19.646	0.006	39.997045	-95.382412 
1610	01616981	Isabella Reservation	26274	11474	561044692	4435080	216.621	1.712	43.676112	-84.780745 
1625	01934338	Isleta Pueblo	3400	1374	854816202	2421806	330.046	0.935	34.889634	-106.648017
1640	00226085	Jackson Rancheria	0	0	1191716	0	0.460	0.000	38.384878	-120.722678
1655	02418978	Jamestown S'Klallam Reservation	3	1	72310	82645	0.028	0.032	48.026874	-122.998444
