GEOID	ANSICODE	NAME	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                         
0495	00240225	Capitan Grande Reservation	0	0	64429149	832	      24.876	       0.000	 32.922997	-116.754334                                                                                              
0510	00859157	Carson Colony	242	86	730858	0	       0.282	       0.000	 39.139341	-119.775711                                                                                                            
0525	01233634	Catawba Reservation	841	316	4082167	0	       1.576	       0.000	 34.908355	 -80.881480                                                                                                    
0540	00978804	Cattaraugus Reservation	2185	865	86904067	2226871	      33.554	       0.860	 42.538213	 -79.009914                                                                                        
0555	00220808	Cedarville Rancheria and Off-Reservation Trust Land	15	9	139809	0	       0.054	       0.000	 41.526802	-120.183155                                                                        
0560	02419333	Celilo Village	74	15	460480	0	       0.178	       0.000	 45.644595	-120.966261                                                                                                            
0575	01503930	Chehalis Reservation and Off-Reservation Trust Land	649	247	18584774	532662	       7.176	       0.206	 46.812135	-123.188482                                                              
0585	00255956	Chemehuevi Reservation	308	720	124707588	0	      48.150	       0.000	 34.540603	-114.408528                                                                                               
0605	01267254	Cheyenne River Reservation and Off-Reservation Trust Land	8090	2984	11048756058	396648113	    4265.949	     153.147	 45.082644	-101.236077                                                
0620	02419337	Chicken Ranch Rancheria and Off-Reservation Trust Land	4	2	108127	0	       0.042	       0.000	 37.927696	-120.449813                                                                      
0635	02419340	Chitimacha Reservation	555	219	1819473	0	       0.703	       0.000	 29.883662	 -91.531180                                                                                                 
0680	00937176	Pueblo de Cochiti	1727	741	207840140	4836791	      80.248	       1.867	 35.610330	-106.314826                                                                                             
0690	02418876	Coconut Creek Trust Land	0	0	25839	0	       0.010	       0.000	 26.277529	 -80.199834                                                                                                     
